,Article,Summary
12,you optimize database data collection enabling data partitioning installation soti mobicontrol it improves performance reviewing recently collected data collection panel generating report note database partitioning available edition microsoft sql server included microsoft sql server express bundled soti mobicontrol installer partitioning performed following table devstatcalllog devstatcalllogtotal devstatint devstatlocation devstatnettraffic devstatnettraffictotal devstatstring rmlnotification when database partitioning enabled soti mobicontrol creates partition table using right boundary type monthly interval primary file group the first partition store data past month last store data older month depending situation soti mobicontrol organizes partition differently during clean install soti mobicontrol organizes partition first partition contains data current month previous month the second partition contain data next month when upgrading existing installation soti mobicontrol soti mobicontrol creates partition last partition contains current month the second last partition contains previous month in either case soti mobicontrol creates automatic sliding window job affecting table partitioned installer note automatic sliding window job remain registered sql server agent product uninstalled even database deleted parent topic email,database partitioning setup installing database partitioning
13,if run issue installing upgrading soti mobicontrol rerun soti mobicontrol setup executable ensure soti mobicontrol service even installed different computer turned running installer warning if soti mobicontrol component unchecked installer uninstall component ensure component want keep installed selected note if builtin resource file soti mobicontrol database device agent cab installation file need rewritten database correct problem run installer executable command line additional parameter updatedb if issue persist parent topic email,repairing installation error setup installing repairing
14,soti mobicontrol after install soti mobicontrol must activate take full advantage tool feature activation simple requires trial purchase registration code contact soti representative obtain registration code if upgrading soti mobicontrol version older registration code may obsolete format to exchange old registration code new one email provide old registration code name company person soti mobicontrol installation licensed parent topic email,registering soti mobicontrol setup activating activation
15,soti mobicontrol the first time access soti mobicontrol console prompted activate soti mobicontrol providing valid registration code if valid registration code visit sign day trial registration code contact soti representative full registration code note if want activate offline deployment soti mobicontrol see to activate soti mobicontrol navigate soti mobicontrol instance console web address enter registration code click next activate soti mobicontrol soti mobicontrol activated begin managing device note in event activation fails soti mobicontrol day grace period activation locked software the soti mobicontrol console prompt activation code time log parent topic email,activating soti mobicontrol setup activating online
16,soti mobicontrol offline the first time access soti mobicontrol console prompted activate soti mobicontrol providing valid registration code if valid registration code visit sign day trial registration code contact soti representative full registration code to activate offline deployment soti mobicontrol on computer access internet navigate soti mobicontrol instance console web address click activate offline open new browser tab window navigate enter following information registration code installation id product version the installation id product version found administration utility view product detail click get license generate license file save computer return soti mobicontrol offline activation browser tab upload license file after soti mobicontrol successfully activated asked enter administrative credential begin managing device parent topic email,activating soti mobicontrol offline setup activating offline
17,soti mobicontrol with every new release soti mobicontrol soti introduces new feature aid device management strategy to stay abreast latest advancement functionality security support highly recommended upgrade soti mobicontrol often feasible the new feature version documented remember check whenever upgrade if upgrading earlier version soti mobicontrol sure first read note a it change soti strongly recommends test product upgrade preproduction environment if already practice place consultation proceeding upgrade parent topic email,upgrading soti mobicontrol setup upgrading upgrade
18,depending version soti mobicontrol currently installed may need break upgrade several jump reach latest version review upgrade path find current version upgrade path see important information regarding change version soti mobicontrol note a it change soti strongly recommends test product upgrade preproduction environment if already practice place consultation proceeding upgrade path use following path upgrading soti mobicontrol version older note when upgrading soti mobicontrol earlier must ensure window mobile device configuration ssl security turned upgrade soti mobicontrol ga latest mr latest mr latest mr use following path upgrading soti mobicontrol version ga mr ga mr latest mr latest mr use following path upgrading soti mobicontrol version ga mr ga mr latest mr latest mr use following path upgrading previous version soti mobicontrol ga mr latest mr if plan upgrade version specified please contact soti support phone toll free north america international email for information help upgrade current soti mobicontrol installation refer page email team parent topic email,upgrade path setup upgrading upgrade path
19,soti mobicontrol review carefully plan upgrade process note a it change soti strongly recommends test product upgrade preproduction environment if already practice place consultation proceeding upgrade to upgrade installation soti mobicontrol back soti mobicontrol database while soti mobicontrol setup wizard automatically back database good practice also back independently if running nonexpress edition microsoft sql server back database using backup tool provided microsoft sql server enterprise manager you also use thirdparty back utility shut current soti mobicontrol deployment server close soti mobicontrol console download soti mobicontrol installer move installer computer want upgrade soti mobicontrol see information installer need download upgrade run soti mobicontrol installer administrator launch soti mobicontrol setup wizard follow instruction setup wizard warning when selecting feature upgrade deselect feature installed previously setup wizard remove feature upgrade once completed wizard automatically upgrade version soti mobicontrol your device warning sign soti mobicontrol console it indication agent upgrade must enabled automatic upgrade device agent proceed parent topic email,upgrading soti mobicontrol setup upgrading
20,note soti strongly recommends following upgrade soti mobicontrol test device agent select device completing full rollout to upgrade soti mobicontrol device agent open soti mobicontrol console specify network device use download device agent if upgrading single device click device whose agent want upgrade open device information panel if upgrading multiple device within single device group device group containing device whose agent want upgrade click more group information open group information panel switch configuration tab under advanced configuration table click more edit beside agent upgrade setting entry agent upgrade setting dictated device family within group must perform step separately device family whose agent want upgrade enable network want permit device download agent click ok save setting close detail dialog select device whose agent want upgrade click enable agent upgrade icon device action menu bar click more menu button see full device action list if applicable click warning message bottom dialog box see selected device allow agent upgrade click enable agent upgrade with device still selected click upgrade agent now icon device action menu bar click more menu button see full device action list if applicable click warning message bottom dialog box see soti mobicontrol push agent selected device click upgrade agent now device date agent download install latest available agent parent topic email,upgrading device agent setup upgrading agent upgrade
21,if soti mobicontrol upgrade fails check upgrade log identify source error to check upgrade log error on computer upgrading soti mobicontrol navigate cprogramdatasotimcupgradehandlerlog open mcupgradehandlerlog file text editor check log file error message exception determine cause upgrade failure if determine caused upgrade fail help parent topic email,identifying upgrade error setup upgrading upgrade error
22,soti mobicontrol follow standard uninstallation process application operating system uninstall soti mobicontrol deployment server the process described generic step may differ depending environment to remove soti mobicontrol component computer open soti mobicontrol administration utility go database tab make note name location database youll need information remove microsoft sql server component removed separately following uninstallation soti mobicontrol component on computer soti mobicontrol deployment server installed open control panel select program uninstall program find soti mobicontrol list program click uninstall remove soti mobicontrol computer soti mobicontrol longer installed computer you must parent topic email,uninstalling soti mobicontrol setup uninstalling mc
23,soti mobicontrol database file warning ensure soti mobicontrol component uninstalled prior removing database file see instruction note follow standard uninstallation process operating system the process described generic step microsoft sql server express instance may differ depending environment to remove soti mobicontrol database file open microsoft sql server management studio connect soti mobicontrol database select database used soti mobicontrol rightclick microsoft sql instance select delete ensure correct object yourdatabasename selected select delete backup restore history information database close existing connection click ok repeat yourdatabasename archive reportserver yourdatabasename reportserver yourdatabasename tempdb you removed soti mobicontrol database file parent topic email,removing soti mobicontrol database file setup uninstalling sql
24,soti mobicontrol device agent the procedure removing soti mobicontrol device agent device differs depending upon device operating system see topic information parent topic email,uninstalling soti mobicontrol device agent setup uninstalling uninstall agent
25,to remove soti mobicontrol device agent android device on android device open setting app find device administrator generally security menu select soti mobicontrol deactivate navigate apps menu uninstall soti mobicontrol device agent parent topic email,uninstalling device agent from android device setup uninstalling agent android
26,to remove soti mobicontrol device agent io device on io device tap hold soti mobicontrol app icon shake tap appears top app icon open setting app select general tab scroll bottom general section select profile remove profile associated soti mobicontrol parent topic email,uninstalling device agent from io device setup uninstalling agent io
27,to remove soti mobicontrol device agent linux device on linux device open command prompt navigate installer folder device agent run sh uninstallsh parent topic email,uninstalling device agent from linux device setup uninstalling agent linux
28,to remove soti mobicontrol device agent window mobile ce device on window mobilece device open start menu select setting click system tab go remove program select soti mobicontrol list application click remove to ensure device easily reenrolled soti mobicontrol uninstaller soti mobicontrol device agent remove installed file device if want completely remove soti mobicontrol agent device complete rest step otherwise successfully uninstalled soti mobicontrol device agent in persistent storage folder set installation remove pdbini file pdbpkg folder in root directory device remove pkinstlog pkctrlsvlog file pdbinfo folder parent topic email,uninstalling device agent from window mobilece device setup uninstalling agent windowsmobile
29,this help section provides reference information regarding various task associated setting configuring soti mobicontrol parent topic email,setup reference setup reference
30,this help section provides information field control soti mobicontrol installation set process parent topic email,dialog box wizard setup reference dialog
31,installation wizard this help section provides information field control soti mobicontrol installation wizard parent topic related task email,soti mobicontrol installation wizard setup reference dialog installation wizard installation wizard
32,select setup language begin soti mobicontrol setup wizard start ensure environment conforms installing soti mobicontrol parent topic email,welcome setup reference dialog installation wizard welcome
33,the soti mobicontrol license agreement establishes term acceptable use soti mobicontrol software the installation proceed accept license agreement print click print copy license agreement accept term license agreement select radio button accept soti mobicontrol license agreement proceed installation accept term license agreement select radio button decline soti mobicontrol license agreement cancel installation parent topic email print click print copy license agreement accept term license agreement select radio button accept soti mobicontrol license agreement proceed installation accept term license agreement select radio button decline soti mobicontrol license agreement cancel installation email,license agreement setup reference dialog installation wizard license
34,this wizard panel list soti mobicontrol component installed if feature selected installed warning if upgrading previous version soti mobicontrol one component option selected installer remove component soti mobicontrol deployment microsoft sql server express free lightweight database software storing device information if already supported database available deselect option note this option may visible soti mobicontrol installer detects another database already computer soti mobicontrol web console the main interface managing device it mandatory configuring security managing access soti mobicontrol soti mobicontrol deployment server the core component soti mobicontrol communicates device enrollment provisioning management purpose browse select installation location soti mobicontrol the default destination folder cprogram filessotimobicontrol parent topic email microsoft sql server express free lightweight database software storing device information if already supported database available deselect option note this option may visible soti mobicontrol installer detects another database already computer soti mobicontrol web console the main interface managing device it mandatory configuring security managing access soti mobicontrol soti mobicontrol deployment server the core component soti mobicontrol communicates device enrollment provisioning management purpose browse select installation location soti mobicontrol the default destination folder cprogram filessotimobicontrol email,feature setup reference dialog installation wizard component
35,if soti mobicontrol installer detected database opt install microsoft sql server express panel prompt connect database want use soti mobicontrol note ensure tcpip network protocol enabled sql server network configuration server use dropdown select location database computer network you also type network location database note if server configured listen port default include port number for example serversqlserver connect using select authentication method window authentication sql server authentication username enter username account soti mobicontrol use access database the account must readwrite permission password enter password account soti mobicontrol use access database name enter name database auto detect click button retrieve database name automatically using provided information attempt connection once entered information clicked next soti mobicontrol installer attempt connect database using provided information if successful installer continue next step parent topic email server use dropdown select location database computer network you also type network location database note if server configured listen port default include port number for example serversqlserver connect using select authentication method window authentication sql server authentication username enter username account soti mobicontrol use access database the account must readwrite permission password enter password account soti mobicontrol use access database name enter name database auto detect click button retrieve database name automatically using provided information attempt connection email,database connection setup reference dialog installation wizard database connection
36,if computer installing soti mobicontrol multiple ip address installer ask select appropriate ip address communication select appropriate network deployment server provided list parent topic email,network adapter selection setup reference dialog installation wizard network adapter
37,this panel present summary setting soti mobicontrol installer use installing soti mobicontrol if need change setting use back button return previous wizard panel click advanced go advanced configuration setting if satisfied setting click next proceed installation soti mobicontrol parent topic email,summary setup reference dialog installation wizard summary
38,this wizard panel present advanced configuration option installation soti mobicontrol some option change default behaviour soti mobicontrol if experience issue installation later point using soti mobicontrol remember take modified setting consideration troubleshooting note clicking next panel initiate installation soti mobicontrol click back return summary wizard panel site name change automatically configured site name soti mobicontrol deployment device management address change automatically configured address io android device use connectivity the address must either fqdn ip format web console instance name enter name soti mobicontrol console instance note if left blank system root url generated based device management address http port enter port number http connection system root url display system root url ssp instance name enter name self service portal instance deployment server name enter name deployment server port enter port number connection deployment server database create partition when enabled database divided partition optimize data collection see information database create backup creates backup database configure backup location sql server instance database force upgrade force database upgrade parent topic email site name change automatically configured site name soti mobicontrol deployment device management address change automatically configured address io android device use connectivity the address must either fqdn ip format web console instance name enter name soti mobicontrol console instance note if left blank system root url generated based device management address http port enter port number http connection system root url display system root url ssp instance name enter name self service portal instance deployment server name enter name deployment server port enter port number connection deployment server database create partition when enabled database divided partition optimize data collection see information database create backup creates backup database configure backup location sql server instance database force upgrade force database upgrade email,advanced setup reference dialog installation wizard advanced
39,this section provides information use soti mobicontrol console perform device management task email,using console consoleindex
40,soti mobicontrol console this section introduces soti mobicontrol console main interface perform majority device management task within soti mobicontrol parent topic email,about soti mobicontrol console start
41,component soti mobicontrol consists six major component work together effectively manage device component description console the soti mobicontrol console main interface managing device it communicates deployment server exchanging information pushing command device it focus help guide deployment server the deployment server exchange information instruction enrolled device using device agent it also relay device information database the database store information relating device deployment server device status configuration system event device agent device agent application installed device gather information managed device send soti mobicontrol deployment server soti mobicontrol search the soti mobicontrol search functionality allows user quickly filter device wide variety way management server the management server provides user access manage administer device via console parent topic email console the soti mobicontrol console main interface managing device it communicates deployment server exchanging information pushing command device it focus help guide deployment server the deployment server exchange information instruction enrolled device using device agent it also relay device information database the database store information relating device deployment server device status configuration system event device agent device agent application installed device gather information managed device send soti mobicontrol deployment server soti mobicontrol search the soti mobicontrol search functionality allows user quickly filter device wide variety way management server the management server provides user access manage administer device via console email,soti mobicontrol component console start component
42,soti mobicontrol console the soti mobicontrol console allows enroll organize supervise device single location this topic seek help familiarize console wide range capability the soti mobicontrol console divided two section main console legacy console both section uptodate fully integrated action performed main console reflected legacy console vice versa the main console focus routine management device within console learn current status device organize device accommodate need perform simple device action tracking remote controlling locking device among others the legacy console devoted le frequently performed task enrollment software deployment soti mobicontrol system operation among others see comprehensive overview legacy console capability figure switching console use menu button top left corner main console switch legacy console view device link top left corner legacy console switch back main console tip access instance console using url configured installation soti mobicontrol parent topic email,navigating soti mobicontrol console start navigating
43,soti mobicontrol console the legacy soti mobicontrol console arranged differently main console it organized platform tab governs particular set device type the eight platform tab run along top legacy console interface all platform window mobilece window desktop classic window modern io android plus printer linux the platform tab accommodate deep difference operating system not feature available one platform available another it imperative switch correct platform tab beginning task active platform tab dictate device affected for full list device soti mobicontrol support sort different platform tab refer along bottom legacy console run sub tab they group related management feature together not sub tab visible every platform tab always select platform tab first the different function sub tab profile rule package report server security content library alert described profile tab use profile tab configure apply device setting using profile configuration on profile tab create edit send device setting device generally activity performed profile tab covered section console help rule tab use rule tab automate certain device system activity based instruction package tab use package tab upload manage package soti mobicontrol package one soti mobicontrol delivery mechanism deploying application script file device generally activity performed package tab covered section console help the package tab visible io tab active server tab use server tab perform administrative task soti mobicontrol console you view information server manage behaviour console thirdparty connection the server tab visible all platform tab active security tab use security tab handle user account soti mobicontrol console within create new user group pull existing user group ldap idp connection you also track user activity set granular permission entity generally activity performed security tab covered section console help the security tab visible all platform tab active content library tab use content library tab access file storage distribution system soti mobicontrol device generally activity performed content library tab covered section console help the content library tab visible either android plus io tab active alert tab use alert tab view information device system alert set you acknowledge dismiss triggered alert it visible all platform tab active tab see information parent topic email,using legacy soti mobicontrol console start legacy console
44,console announcement soti mobicontrol us announcement keep appraised system event information soti system related announcement may appear one following reason license maintenance expiration day prior persistently expiration device license availability fall total license certificate token expiration day prior persistently expiration including apple push notification service certificate apple device enrollment program token apple volume purchase program token management service deployment server deployment server extension certificate system related announcement appear soti mobicontrol administrator dismissed relevant issue resolved soti mobicontrol also us announcement menu notify security product update system maintenance information soti deems pertinent periodically announcement may request feedback improving product these announcement dismissed desired parent topic email,soti mobicontrol console announcement console start announcement
45,the device search bar powerful tool central component device management within soti mobicontrol console it allows quickly find sort device enabling rapid troubleshooting reporting the device search bar two mode behave differently the basic search us text entry return device whose property matching value whereas advanced search allows create intricate search query filter device based criterion the basic search mode geared towards finding specific device advanced search mode better suited filtering device deployment see comprehensive overview two search mode you toggle search mode search setting menu accessed magnifying glass dropdown list although search bar present throughout soti mobicontrol function manner device search bar figure search setting menu the scope search determined selected device group include subgroup setting when performing search choose run search device database single device group to search device database click view all device executing search if choose run device group option run search recursively when include subgroup enabled device child group selected folder also included scope search otherwise device directly within selected group evaluated tip you save search use frequently search index the device search bar analyzes index stored soti mobicontrol management server result rather accessing soti mobicontrol database directly the index updated realtime new information obtained device however rare circumstance discrepancy occur index database for example management server offline device checked index would update information in event use soti mobicontrol search sync interval setting fix synchronization issue the search sync interval defines frequently soti mobicontrol performs integrity check synchronizes database it failsafe mechanism ensures current information device available console see instruction parent topic email,using search bar console start search bar
46,the basic search us simple text entry search across property value device match contains specified search term it simple use effective using unique value serial number device id le precise query may return multiple device containing value different property partial match queried value generally basic search ass value device property available column view generate result these property subset device property available device information panel exclude figure basic search using device id search term basic search example use device sample device data set understand soti mobicontrol performs basic search table sample device name o version device family serial number timothy smits iphone apple aabbcceedd saras nexus android plus tim thompson desktop window modern zzyyxxwwvv janes ipad apple abcde if following basic search executed database containing device would return following result entering search term return device aabbcceedd tim apple io no result jane tim no result parent topic email timothy smits iphone apple aabbcceedd saras nexus android plus tim thompson desktop window modern zzyyxxwwvv janes ipad apple abcde aabbcceedd tim apple io no result jane tim no result email,basic search console start search bar basic
47,the advanced search allows quickly sort device according user specified criterion search term limited predefined set option based device extended property auxiliary attribute profile installed application each property us logical operator value generate result generally logical operator variation contains contain greater etc change suit need property text based property allow contains operator numeric type the opposite true greater operator some property type generally relevant versioning exception treated text numeric property type when using greater le operator search compare value decimal place individually sequence determine later version any value beyond first alphabetic character ignored for example greater build figure an advanced search query return android plus device database the advanced search us autocomplete facilitate search begin typing search bar suggest matching property type to see available device property activate search bar field scroll list property appears note property applicable every device type you combine multiple property single search using boolean search operator and or grouped or and evaluated or unless grouped or effectively place filter around property type linked or force soti mobicontrol evaluate two property together figure an advanced search query return android plus device whose current battery status greater extended property extended property object associated device necessarily property device soti mobicontrol support following extended property application profile ldap group you group multiple property single extended property object using boolean operator when grouped soti mobicontrol execute search list record extended property object for example use apps extended property grouping allows search database device application matching name version combination criterion figure an advanced search query using apps extended property object this search return device application containing soti mobicontrol name and whose version any application extended property object match criterion result device returned even another application device match criterion when ungroup separate property individual extended property object receive result match independently one another by default match extended property statement result device included search result even desired result may exclude for example try exclude device based particular application using not equal operator achieve desired result device likely application also match given name instead want search exclusion must change extended property qualifier include exclude enter search using equal operator figure an advanced search query using apps extended property object option toggle include exclude when set exclude search return device do not application containing soti mobicontrol name whose version advanced search example use device sample device data set understand soti mobicontrol performs advanced search table sample device name o version device family serial number application timothy smits iphone apple aabbcceedd name version status calculator installed barcode scanner managed crm uninstalled saras nexus android plus name version status calculator not installed crm installed tim thompson desktop window modern zzyyxxwwvv name version status calendar installed janes ipad apple abcde name version status calculator install pending sale lead installed barcode scanner installed example advanced search entering search term return device family apple and o version o version or o version and device family apple device name contains tim device family apple or device family window modern example advanced search extended property entering search term return device application include name calculator application include name calculator and status not installed application include name calculator and application include status installed application include name calculator and version application include name calculator or name calendar and device family apple example advanced search extended property demonstrating difference include exclude entering search term return device application include name calculator application exclude name calculator application exclude name calculator and status installed application include name calculator and status installed parent topic email timothy smits iphone apple aabbcceedd name version status calculator installed barcode scanner managed crm uninstalled saras nexus android plus name version status calculator not installed crm installed tim thompson desktop window modern zzyyxxwwvv name version status calendar installed janes ipad apple abcde name version status calculator install pending sale lead installed barcode scanner installed name version status calculator installed barcode scanner managed crm uninstalled name version status calculator not installed crm installed name version status calendar installed name version status calculator install pending sale lead installed barcode scanner installed device family apple and o version o version or o version and device family apple device name contains tim device family apple or device family window modern application include name calculator application include name calculator and status not installed application include name calculator and application include status installed application include name calculator and version application include name calculator or name calendar and device family apple application include name calculator application exclude name calculator application exclude name calculator and status installed application include name calculator and status installed email,advanced search console start search bar advanced
