,page,link,title,Article,parsed_link,Summary
10,10,https://www.soti.net/mc/help/v14.0/en/setup/installing/supported_devices.html,Supported Devices,"SOTI MobiControl supports a wide range of products, including Android, iOS, Linux, Windows, and wireless printer devices. For simplicity, SOTI MobiControl groups related device types under Platform tabs . Refer to the table below for a full list of supported operating systems and their associated platforms. Note: Some devices require the installation of a SOTI MobiControl device agent for management purposes. The device agent uses approximately 10 MB of device storage. This platform tab Manages these device types Android Plus Devices running Android 4.2 or later iOS Devices running iOS 7.0 or later including iPhone, iPad and iPod Touch devices Linux Devices running: Ubuntu 16.04 or later Raspbian 8.0 or later Printers Zebra wireless printers Windows Desktop Classic Desktop devices running Windows 8.1 or earlier Windows Mobile/CE Devices running: CE .NET 4.2 or later Windows Mobile 5.0 or later Pocket PC 2002 or 2003 Windows Modern Devices running Windows 10 or Windows Phone 8 and later Supported TLS Versions Secure communication depends on the Transport Layer Security (TLS) version supported by both the SOTI MobiControl deployment server and the device platform. The SOTI MobiControl deployment server supports the following TLS 1.2 cipher suites: TLS_RSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256 TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256 TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256 The TLS version supported by each device platform is provided in the following table. Device Platform TLS Versions Windows CE TLS 1.0/1.1 Android 4.2 TLS 1.0 Android 4.3 – 9.0 TLS 1.0/1.1/1.2 iOS 5 – 12 TLS 1.0/1.1/1.2 Windows Phone 8.0 TLS 1.0 Windows Phone 8.1 TLS 1.0/1.1/1.2 Windows 10 Mobile 1511 – 1709 TLS 1.0/1.1/1.2 Parent topic: © 2019 Email: Android Plus Devices running Android 4.2 or later iOS Devices running iOS 7.0 or later including iPhone, iPad and iPod Touch devices Linux Devices running: Ubuntu 16.04 or later Raspbian 8.0 or later Printers Zebra wireless printers Windows Desktop Classic Desktop devices running Windows 8.1 or earlier Windows Mobile/CE Devices running: CE .NET 4.2 or later Windows Mobile 5.0 or later Pocket PC 2002 or 2003 Windows Modern Devices running Windows 10 or Windows Phone 8 and later Windows CE TLS 1.0/1.1 Android 4.2 TLS 1.0 Android 4.3 – 9.0 TLS 1.0/1.1/1.2 iOS 5 – 12 TLS 1.0/1.1/1.2 Windows Phone 8.0 TLS 1.0 Windows Phone 8.1 TLS 1.0/1.1/1.2 Windows 10 Mobile 1511 – 1709 TLS 1.0/1.1/1.2 © 2019 Email:",setup installing supported devices,Supported Devices setup installing supported devices
11,11,https://www.soti.net/mc/help/v14.0/en/setup/installing/installing.html,Installing SOTI MobiControl,SOTI MobiControl Ensure your environment meets the . To install SOTI MobiControl : Download the SOTI MobiControl installer from the and move the installer to the computer on which you want to install SOTI MobiControl . Run the SOTI MobiControl installer as an administrator. The SOTI MobiControl setup wizard will launch. Follow the instructions in the wizard to install SOTI MobiControl . SOTI MobiControl is now installed on your computer. You will need to register and activate it before you can enroll your devices. Parent topic: Related reference © 2019 Email: © 2019 Email:,setup installing installing,Installing SOTI MobiControl setup installing installing
12,12,https://www.soti.net/mc/help/v14.0/en/setup/installing/database_partitioning.html,Database Partitioning,"You can optimize the database for data collection by enabling data partitioning during the installation of SOTI MobiControl . It improves performance for reviewing recently collected data in the Data Collection panel and when generating reports. Note: Database partitioning is only available on some editions of Microsoft SQL Server, and is not included on Microsoft SQL Server 2014 Express which is bundled with the SOTI MobiControl installer. Partitioning is performed on the following tables: DevStatCallLog DevStatCallLogTotal DevStatInt DevStatLocation DevStatNetTraffic DevStatNetTrafficTotal DevStatString RMLNotification When database partitioning is enabled, SOTI MobiControl creates 14 partitions for each table using the RIGHT boundary type, monthly interval, and the Primary file group. The first 12 partitions store data for the past 12 months while the last 2, store data older than 12 months. Depending on your situation, SOTI MobiControl organizes partitions differently: During a clean install , SOTI MobiControl organizes partitions so the first partition contains data for the current month and all previous months. The second partition will contain data for the next month, and so on. When upgrading an existing installation of SOTI MobiControl , SOTI MobiControl creates partitions so that the last partition contains the current month and all months after. The second last partition contains the previous month, and so on. In either case, SOTI MobiControl creates the Automatic Sliding Window job affecting each table partitioned by the installer. Note: Automatic Sliding Window jobs remain registered in the SQL Server Agent after the product is uninstalled, even if the database is deleted. Parent topic: © 2019 Email: © 2019 Email:",setup installing database partitioning,Database Partitioning setup installing database partitioning
13,13,https://www.soti.net/mc/help/v14.0/en/setup/installing/repairing.html,Repairing Installation Errors,"If you run into issues after installing or upgrading SOTI MobiControl , you can re-run the SOTI MobiControl setup executable. Ensure that all SOTI MobiControl services (even if they are installed on different computers) are turned off before running the installer. Warning: If a SOTI MobiControl component is unchecked in the installer, the installer will uninstall that component. Ensure all components that you want to keep installed, are selected. Note: If the built-in resource files in the SOTI MobiControl database, such as the device agent .cab installation files, need to be re-written to the database to correct a problem, run the installer executable from the command line with the additional parameter -UpdateDB If your issues persist, . Parent topic: © 2019 Email: © 2019 Email:",setup installing repairing,Repairing Installation Errors setup installing repairing
14,14,https://www.soti.net/mc/help/v14.0/en/setup/activating/activation.html,Registering SOTI MobiControl,"SOTI MobiControl After you install SOTI MobiControl , you must activate it to take full advantage of its tools and features. Activation is simple and only requires your (trial or purchase) registration code. Contact your SOTI representative to obtain your registration code. If you are upgrading from a SOTI MobiControl version older than 11.0, your registration code may be in an obsolete format. To exchange the old registration code for a new one, email and provide the old registration code, the name of your company, and the person to whom the SOTI MobiControl installation is licensed. Parent topic: © 2019 Email: © 2019 Email:",setup activating activation,Registering SOTI MobiControl setup activating activation
15,15,https://www.soti.net/mc/help/v14.0/en/setup/activating/activating_online.html,Activating SOTI MobiControl,"SOTI MobiControl The first time you access the SOTI MobiControl console, you will be prompted to activate SOTI MobiControl by providing a valid registration code. If you do not have a valid registration code, you can visit to sign up for 30-day trial registration code or contact your SOTI representative for a full registration code. Note: If you want to activate an offline deployment of SOTI MobiControl , see . To activate SOTI MobiControl : Navigate to your SOTI MobiControl instance's console web address. Enter your registration code and click Next to activate SOTI MobiControl . SOTI MobiControl is now activated and you can begin managing your devices. Note: In the event that your activation fails, SOTI MobiControl has a 30 day grace period for activation before you are locked out of the software. The SOTI MobiControl console will prompt you for an activation code each time you log in. Parent topic: © 2019 Email: © 2019 Email:",setup activating activating online,Activating SOTI MobiControl setup activating activating online
16,16,https://www.soti.net/mc/help/v14.0/en/setup/activating/activating_offline.html,Activating SOTI MobiControl Offline,"SOTI MobiControl Offline The first time you access the SOTI MobiControl console, you will be prompted to activate SOTI MobiControl by providing a valid registration code. If you do not have a valid registration code, you can visit to sign up for 30-day trial registration code or contact your SOTI representative for a full registration code. To activate an offline deployment of SOTI MobiControl : On a computer that can access the internet, navigate to your SOTI MobiControl instance's console web address. Click Activate Offline . Open a new browser tab or window and navigate to . Enter the following information: Registration Code Installation ID Product Version The Installation ID and the Product Version can be found in the Administration Utility under View Product Details . Click Get License to generate the license file. Save it to your computer. Return to the SOTI MobiControl Offline Activation browser tab and upload the license file. After SOTI MobiControl is successfully activated, you will be asked to enter administrative credentials and then you can begin managing your devices. Parent topic: © 2019 Email: © 2019 Email:",setup activating activating offline,Activating SOTI MobiControl Offline setup activating activating offline
17,17,https://www.soti.net/mc/help/v14.0/en/setup/upgrading/upgrade.html,Upgrading SOTI MobiControl,"SOTI MobiControl With every new release of SOTI MobiControl , SOTI introduces new features to aid you in your device management strategy. To stay abreast of the latest advancements in functionality, security, and support, it is highly recommended that you upgrade SOTI MobiControl as often as is feasible. The new features of each version are documented in the . Remember to check and whenever you upgrade. If you are upgrading to v14 from an earlier version of SOTI MobiControl , be sure to first read the and the . Note: As with any IT change, SOTI strongly recommends that you test all product upgrades in a pre-production environment. If you do not already have such practices in place, you can for consultation before proceeding with your upgrade. Parent topic: © 2019 Email: © 2019 Email:",setup upgrading upgrade,Upgrading SOTI MobiControl setup upgrading upgrade
18,18,https://www.soti.net/mc/help/v14.0/en/setup/upgrading/upgrade_path.html,Upgrade Path,"Depending on the version of SOTI MobiControl that you currently have installed, you may need to break the upgrade into several jumps to reach the latest version. Review the upgrade paths below to find your current version and its upgrade path. See the for important information regarding the changes in each version of SOTI MobiControl . Note: As with any IT change, SOTI strongly recommends that you test all product upgrades in a pre-production environment. If you do not already have such practices in place, you can for consultation before proceeding with your upgrade. Upgrade Paths Use the following path if you are upgrading from SOTI MobiControl version 11.0.3 or older. Note: When upgrading from SOTI MobiControl v11 or earlier, you must ensure that any Windows Mobile device configurations have SSL security turned on before you upgrade to SOTI MobiControl v13. 5.02.2573 ↘ 7.01.3947 ↘ 9.03.7800 ↘ 10.R5.9912 ↘ 11.0.3.15329 (GA) ↘ 11.0.3 (latest MR) ↘ 13.4 (latest MR) ↘ 14.0 (latest MR) Use the following path if you are upgrading from SOTI MobiControl version 12.0, 12.1, 12.2, 12.3, or 12.4 (GA or MR). 12.0, 12.1, 12.2, 12.3, or 12.4 (GA or MR) ↘ 12.4 (latest MR) ↘ 14.0 (latest MR) Use the following path if you are upgrading from SOTI MobiControl version 13.0, 13.1, 13.2, 13.3, or 13.4 (GA or MR). 13.0, 13.1, 13.2, 13.3, or 13.4 (GA or MR) ↘ 13.4 (latest MR) ↘ 14.0 (latest MR) Use the following path if you are upgrading from any previous version of SOTI MobiControl 14.0. 14.0 (GA or MR) ↘ 14.0 (latest MR) If you plan to upgrade from a version that is not specified above, please contact SOTI Support by phone at 1-888-624-9828 (toll free in North America) or +1-905-624-9828 (International) or by email at . For information about how can help you upgrade your current SOTI MobiControl installation, refer to the page or email the team at . Parent topic: © 2019 Email: © 2019 Email:",setup upgrading upgrade path,Upgrade Path setup upgrading upgrade path
19,19,https://www.soti.net/mc/help/v14.0/en/setup/upgrading/upgrading.html,Upgrading SOTI MobiControl,"SOTI MobiControl Review the and carefully to plan your upgrade process. Note: As with any IT change, SOTI strongly recommends that you test all product upgrades in a pre-production environment. If you do not already have such practices in place, you can for consultation before proceeding with your upgrade. To upgrade your installation of SOTI MobiControl : Back up your SOTI MobiControl database. While the SOTI MobiControl setup wizard will automatically back up your database, it is good practice to also back it up independently. If you are running a non-Express edition of Microsoft SQL Server, you can back up your database using the Backup tool provided with the Microsoft SQL Server Enterprise Manager. You can also use a third-party back up utility. Shut down your current SOTI MobiControl deployment servers and close the SOTI MobiControl console. Download the SOTI MobiControl installer from the and move the installer to the computer on which you want to upgrade SOTI MobiControl . See for information about which installer you need to download for the upgrade. Run the SOTI MobiControl installer as an administrator to launch the SOTI MobiControl setup wizard. Follow the instructions in the setup wizard. Warning: When selecting which features to upgrade, if you deselect a feature that was installed previously, the setup wizard will remove that feature during the upgrade. Once you have completed the wizard, it will automatically upgrade your version of SOTI MobiControl Your devices will have a warning sign in the SOTI MobiControl console. It is an indication that agent upgrade must be enabled for the automatic upgrade of device agents to proceed. Parent topic: © 2019 Email: © 2019 Email:",setup upgrading upgrading,Upgrading SOTI MobiControl setup upgrading upgrading
20,20,https://www.soti.net/mc/help/v14.0/en/setup/upgrading/agent_upgrade.html,Upgrading a Device Agent,"Note: SOTI strongly recommends that following an upgrade of SOTI MobiControl , you test device agents on select devices before completing a full rollout. To upgrade SOTI MobiControl device agents: Open the SOTI MobiControl console. Specify which networks your device(s) can use to download the device agent. If upgrading a single device, click on the device whose agent you want to upgrade to open its Device Information panel. If upgrading multiple devices within a single device group, on the device group containing the device(s) whose agents you want to upgrade, click More > Group Information to open its Group Information panel. Switch to the Configurations tab. Under the Advanced Configurations table, click More > Edit beside the Agent Upgrade Settings entry. Agent Upgrade Settings are dictated by Device Family. Within groups you must perform this step separately for each device family whose agents you want to upgrade. Enable the networks over which you want to permit devices to download agents and click OK to save your settings. Close the Details dialog. Select the device(s) whose agent(s) you want to upgrade and click the Enable Agent Upgrade icon in the Device Actions menu bar. Click the More menu button to see the full device actions list. If applicable, click the warning message at the bottom of the dialog box to see why some of the selected devices will not allow agent upgrades. Click Enable Agent Upgrade . With the device(s) still selected, click the Upgrade Agent Now icon in the Device Actions menu bar. Click the More menu button to see the full device actions list. If applicable, click the warning message at the bottom of the dialog box to see why SOTI MobiControl cannot push the agent to some of the selected devices. Click Upgrade Agent Now . Devices with out of date agents will download and install the latest available agent. Parent topic: © 2019 Email: © 2019 Email:",setup upgrading agent upgrade,Upgrading a Device Agent setup upgrading agent upgrade
21,21,https://www.soti.net/mc/help/v14.0/en/setup/upgrading/upgrade_errors.html,Identifying Upgrade Errors,"If your SOTI MobiControl upgrade fails, you can check the upgrade log to identify the source of the error. To check the upgrade log for errors: On the computer you are upgrading SOTI MobiControl on, navigate to C:\ProgramData\SOTI\MCUpgradeHandler.log . Open the MCUpgradeHandler.log file in a text editor. Check the log file for error messages or exceptions to determine the cause of the upgrade failure. If you cannot determine what caused the upgrade to fail, for help. Parent topic: © 2019 Email: © 2019 Email:",setup upgrading upgrade errors,Identifying Upgrade Errors setup upgrading upgrade errors
22,22,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstalling_MC.html,Uninstalling SOTI MobiControl,"SOTI MobiControl Follow the standard uninstallation process for applications for your operating system to uninstall the SOTI MobiControl deployment server. The process described below are generic steps and may differ depending on your environment. To remove SOTI MobiControl components from your computer: Open the SOTI MobiControl Administration Utility and go to the Database tab. Make a note of the name and location of your database. You'll need this information to remove Microsoft SQL Server components, which are removed separately, following the uninstallation of SOTI MobiControl components. On the computer where the SOTI MobiControl deployment server is installed, open the Control Panel. Select Programs > Uninstall a program and find SOTI MobiControl in the list of programs. Click Uninstall to remove SOTI MobiControl from your computer. SOTI MobiControl is no longer installed on your computer. You must . Parent topic: © 2019 Email: © 2019 Email:",setup uninstalling uninstalling MC,Uninstalling SOTI MobiControl setup uninstalling uninstalling MC
23,23,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstalling_SQL.html,Removing the SOTI MobiControl Database and its Files,"SOTI MobiControl Database and its Files Warning: Ensure that SOTI MobiControl and all of its components have been uninstalled prior to removing the database and its files. See for instructions. Note: Follow the standard uninstallation process for your operating system. The process described below are generic steps for a Microsoft SQL Server 2012 Express instance, and may differ depending on your environment. To remove the SOTI MobiControl database and its files: Open the Microsoft SQL Server Management Studio and connect to the SOTI MobiControl database. Select the database used for SOTI MobiControl and right-click on the Microsoft SQL instance. Select Delete . Ensure that the correct object, yourDatabaseName , is selected and select Delete backup and restore history information for databases and Close existing connections . Click OK . Repeat for yourDatabaseName _Archive, ReportServer$ yourDatabaseName and ReportServer$ yourDatabaseName TempDB . You have removed the SOTI MobiControl database and its files. Parent topic: © 2019 Email: © 2019 Email:",setup uninstalling uninstalling SQL,Removing the SOTI MobiControl Database and its Files setup uninstalling uninstalling SQL
24,24,https://www.soti.net/mc/help/v14.0/en/setup/uninstalling/uninstall_agents.html,Uninstalling SOTI MobiControl Device Agents,SOTI MobiControl Device Agents The procedure for removing the SOTI MobiControl device agent from your devices differs depending upon the device's operating system. See the topics below for more information. Parent topic: © 2019 Email: © 2019 Email:,setup uninstalling uninstall agents,Uninstalling SOTI MobiControl Device Agents setup uninstalling uninstall agents
