,question,tag,correct_url,correct_id,returned_id,mrr_score,urls
11,商品モニターとは？,ｄジョブ,https://sw.job.dmkt-sp.jp/topics/product_monitor_2004_01.html,1015,"[1141, 1152, 1151, 1142, 1150]",0,"[nan, nan, nan, nan, nan]"
12,高時給のバイトは？,ｄジョブ,https://job.dmkt-sp.jp/topics/article/work_kyujin_callcenter_190601.html,625,"[1002, 1003]",0,"['https://job.dmkt-sp.jp/information/guide.html', 'https://job.dmkt-sp.jp/campaign']"
13,支払い方法は？,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E5%A0%B1%E9%85%AC,639,"[975, 985, 1006, 211, 188]",0,"['https://travel.dmkt-sp.jp/faq/123/', 'https://travel.dmkt-sp.jp/faq/45/', 'https://travel.dmkt-sp.jp/faq/48/', 'https://faq.carshare.dmkt-sp.jp/faq/show/30', 'https://faq.carshare.dmkt-sp.jp/faq/show/48']"
14,バイトしたい,ｄジョブ,https://job.dmkt-sp.jp/search?utf8=%E2%9C%93&q%5Bkeyword%5D=&q%5Bemployment_type%5D=3&q%5Barea_code%5D=&q%5Bstate_codes%5D=&q%5Bcity_codes%5D=&q%5Btown_names%5D=&q%5Bline_codes%5D=&q%5Bstation_names%5D=&q%5Boccupation_codes%5D=&q%5Bsalary%5D=&q%5Bcondition_words%5D=&commit=%E3%81%93%E3%81%AE%E6%9D%A1%E4%BB%B6%E3%81%A7%E6%A4%9C%E7%B4%A2,652,"[1002, 1003]",0,"['https://job.dmkt-sp.jp/information/guide.html', 'https://job.dmkt-sp.jp/campaign']"
15,転職したい,ｄジョブ,https://sw.job.dmkt-sp.jp/search?prj_major_cate_cd%5B%5D=11&smt=1&top_srch_cd=,789,"[1002, 1309, 1003]",0,"['https://job.dmkt-sp.jp/information/guide.html', nan, 'https://job.dmkt-sp.jp/campaign']"
16,転職の方法は？,ｄジョブ,https://job.dmkt-sp.jp/topics/article/work_carrer_up_180614.html,733,"[1002, 1309, 1003, 975, 985]",0,"['https://job.dmkt-sp.jp/information/guide.html', nan, 'https://job.dmkt-sp.jp/campaign', 'https://travel.dmkt-sp.jp/faq/123/', 'https://travel.dmkt-sp.jp/faq/45/']"
17,問合せ先を知りたい,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/faq.html,616,"[1012, 1141, 68, 1209, 1214]",0,"['https://travel.dmkt-sp.jp/faq/63/', nan, 'https://d.dmkt-sp.jp/common/qa/category/sugoroku/index016.html', nan, nan]"
18,問い合わせ先に電話で確認したい,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/faq.html,619,"[96, 1263, 1292, 1257, 1033]",0,"['https://d.dmkt-sp.jp/common/qa/category/sugoroku/index009.html', nan, nan, nan, 'https://travel.dmkt-sp.jp/faq/85/']"
19,アカウントを知りたい。,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/faq.html,968,"[82, 1012, 1141, 68, 1209]",0,"['https://d.dmkt-sp.jp/common/qa/category/other/index006.html', 'https://travel.dmkt-sp.jp/faq/63/', nan, 'https://d.dmkt-sp.jp/common/qa/category/sugoroku/index016.html', nan]"
20,仕事　方法,ｄジョブ,https://sw.job.dmkt-sp.jp/guide,766,"[1069, 1085, 1083, 1084, 1073]",0,"[nan, nan, nan, nan, nan]"
21,メリット,ｄジョブ,https://job.dmkt-sp.jp/information/guide.html,760,"[152, 1002, 931, 639, 743]",0,"['https://d.dmkt-sp.jp/common/about/index.html', 'https://job.dmkt-sp.jp/information/guide.html', 'https://travel.dmkt-sp.jp/feature/article/glamping/glamping_family', 'https://travel.dmkt-sp.jp/feature/usj/', 'https://travel.dmkt-sp.jp/feature/article/glamping/']"
22,健康食品,ｄジョブ,https://sw.job.dmkt-sp.jp/search?prj_major_cate_cd%5B%5D=61&smt=1&top_srch_cd=,946,[930],0,['https://travel.dmkt-sp.jp/feature/kagayagroup/nijitoumi']
23,LINE,ｄジョブ,https://sw.job.dmkt-sp.jp/campaign/line_202004,845,[],0,[]
24,お祝い,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/faq.html#oiwai,1012,"[1221, 1220, 1227, 1224, 1216]",0,"[nan, nan, nan, nan, nan]"
25,友達の紹介方法を教えてください,ｄジョブ,https://sw.job.dmkt-sp.jp/work?cat=09&num=P001946523&pg_src=cushion_lp01,922,"[50, 632, 743, 829, 762]",0,"['https://d.dmkt-sp.jp/common/qa/category/mail_push/index001.html', 'https://travel.dmkt-sp.jp/feature/xmas/', 'https://travel.dmkt-sp.jp/feature/article/glamping/', 'https://travel.dmkt-sp.jp/faq/141/', 'https://travel.dmkt-sp.jp/faq/165/']"
26,プレゼント,ｄジョブ,https://sw.job.dmkt-sp.jp/campaign_list,646,"[94, 156, 1065, 149, 121]",0,"['https://d.dmkt-sp.jp/common/qa/category/kuji/index005.html', 'https://d.dmkt-sp.jp/sugoroku/item/index.html', 'templates/helpbot/advance/844/1722/0/1', 'https://d.dmkt-sp.jp/kuji/common/index.html', 'https://d.dmkt-sp.jp/common/qa/category/sugoroku/index004.html']"
27,キャンペーン,ｄジョブ,https://sw.job.dmkt-sp.jp/campaign_list,629,"[973, 1003, 1221, 1220, 51]",0,"['https://travel.dmkt-sp.jp/faq/175/', 'https://job.dmkt-sp.jp/campaign', nan, nan, 'https://d.dmkt-sp.jp/common/qa/category/maschalle/index005.html']"
28,dポイント,ｄジョブ,https://sw.job.dmkt-sp.jp/use_dpoint,816,"[1221, 1220, 769, 3, 127]",0,"[nan, nan, 'https://travel.dmkt-sp.jp/faq/14/', 'https://d.dmkt-sp.jp/common/dpoint/index.html', 'https://d.dmkt-sp.jp/common/qa/category/maschalle/index004.html']"
29,友達紹介,ｄジョブ,https://sw.job.dmkt-sp.jp/work?cat=09&num=P001946523&pg_src=cushion_lp01,761,"[632, 743, 931, 930, 151]",0,"['https://travel.dmkt-sp.jp/feature/xmas/', 'https://travel.dmkt-sp.jp/feature/article/glamping/', 'https://travel.dmkt-sp.jp/feature/article/glamping/glamping_family', 'https://travel.dmkt-sp.jp/feature/kagayagroup/nijitoumi', 'https://d.dmkt-sp.jp/common/about_store/index.html']"
30,仕事,ｄジョブ,https://job.dmkt-sp.jp/,841,"[1077, 1116, 1002, 1139, 1191]",0,"[nan, nan, 'https://job.dmkt-sp.jp/information/guide.html', nan, nan]"
31,概要,ｄジョブ,https://sw.job.dmkt-sp.jp/about_service,838,"[1219, 228, 1166, 970, 667]",0,"[nan, 'https://faq.carshare.dmkt-sp.jp/category/show/10', nan, 'https://travel.dmkt-sp.jp/faq/40/', 'https://travel.dmkt-sp.jp/campaign/point_car/']"
32,特典,ｄジョブ,https://sw.job.dmkt-sp.jp/mymenu/configuration/charged_option,805,"[1044, 940, 42, 1132, 1263]",0,"['https://travel.dmkt-sp.jp/faq/161/', 'https://travel.dmkt-sp.jp/faq/9/', 'https://d.dmkt-sp.jp/common/maschalle_explain/index.html', nan, nan]"
33,メリット,ｄジョブ,https://job.dmkt-sp.jp/information/guide.html,802,"[152, 1002, 931, 639, 743]",0,"['https://d.dmkt-sp.jp/common/about/index.html', 'https://job.dmkt-sp.jp/information/guide.html', 'https://travel.dmkt-sp.jp/feature/article/glamping/glamping_family', 'https://travel.dmkt-sp.jp/feature/usj/', 'https://travel.dmkt-sp.jp/feature/article/glamping/']"
34,サービス内容,ｄジョブ,https://sw.job.dmkt-sp.jp/about_service,675,"[571, 189, 357, 251, 479]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/355', 'https://faq.carshare.dmkt-sp.jp/faq/show/15', 'https://faq.carshare.dmkt-sp.jp/faq/show/336', 'https://faq.carshare.dmkt-sp.jp/faq/show/133', 'https://faq.carshare.dmkt-sp.jp/faq/show/134']"
35,給与,ｄジョブ,https://sw.job.dmkt-sp.jp/guide,942,"[1236, 1237, 1234, 1003]",0,"[nan, nan, nan, 'https://job.dmkt-sp.jp/campaign']"
36,副業,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E5%89%AF%E6%A5%AD,813,[1118],0,[nan]
37,支払,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E5%A0%B1%E9%85%AC,646,"[607, 113, 586, 188, 786]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/52', 'https://d.dmkt-sp.jp/common/qa/category/other/index004.html', 'https://faq.carshare.dmkt-sp.jp/faq/show/31', 'https://faq.carshare.dmkt-sp.jp/faq/show/48', 'https://travel.dmkt-sp.jp/faq/107/']"
38,短期・単発,ｄジョブ,https://sw.job.dmkt-sp.jp/search?prj_major_cate_cd%5B%5D=A2&prj_major_cate_cd%5B%5D=67&prj_major_cate_cd%5B%5D=66&prj_major_cate_cd%5B%5D=68&prj_major_cate_cd%5B%5D=69&prj_major_cate_cd%5B%5D=70&prj_major_cate_cd%5B%5D=71&prj_major_cate_cd%5B%5D=10&smt=1&top_srch_cd=,816,"[650, 754]",0,"['https://travel.dmkt-sp.jp/cruise', 'https://travel.dmkt-sp.jp/cruise/interview']"
39,副業,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E5%89%AF%E6%A5%AD,948,[1118],0,[nan]
40,モニター,ｄジョブ,https://sw.job.dmkt-sp.jp/search?prj_major_cate_cd%5B%5D=A1&prj_major_cate_cd%5B%5D=60&prj_major_cate_cd%5B%5D=61&prj_major_cate_cd%5B%5D=65&prj_major_cate_cd%5B%5D=62&prj_major_cate_cd%5B%5D=08&smt=1&top_srch_cd=01,675,"[1151, 1142, 1152, 1141, 1150]",0,"[nan, nan, nan, nan, nan]"
41,転職,ｄジョブ,https://sw.job.dmkt-sp.jp/search?prj_major_cate_cd%5B%5D=11&smt=1&top_srch_cd=01,646,"[1002, 1309, 1003]",0,"['https://job.dmkt-sp.jp/information/guide.html', nan, 'https://job.dmkt-sp.jp/campaign']"
42,アルバイト,ｄジョブ,https://job.dmkt-sp.jp/,646,"[1230, 1170, 1002, 1003]",0,"[nan, nan, 'https://job.dmkt-sp.jp/information/guide.html', 'https://job.dmkt-sp.jp/campaign']"
43,高校生,ｄジョブ,https://job.dmkt-sp.jp/information/kyujin/help.html,649,"[737, 874]",0,"['https://travel.dmkt-sp.jp/jtb_tour/kyushu_ouen/', 'https://travel.dmkt-sp.jp/cpinfo/topics/200715']"
44,在宅勤務,ｄジョブ,https://job.dmkt-sp.jp/keywords/%E5%9C%A8%E5%AE%85%E5%8B%A4%E5%8B%99,811,"[1233, 1234, 1227, 1003]",0,"[nan, nan, nan, 'https://job.dmkt-sp.jp/campaign']"
45,アプリデビュー,ｄジョブ,https://sw.job.dmkt-sp.jp/campaign/apri_dl,612,"[22, 33, 160]",0,"['https://d.dmkt-sp.jp/common/mailmagazine/index.html', 'https://d.dmkt-sp.jp/common/qa/index.html', 'https://faq.carshare.dmkt-sp.jp/faq/show/238']"
46,スマホワークってなんですか？,ｄジョブ,https://sw.job.dmkt-sp.jp/about_service,949,"[1066, 1127, 1001, 1071, 1128]",0,"[nan, nan, 'https://job.dmkt-sp.jp/inquiries', nan, nan]"
47,報酬をdポイントから現金に変更したい,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=d%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88%E3%80%80%E5%A4%89%E6%9B%B4,973,"[1095, 1110, 1076, 1094, 1140]",0,"[nan, nan, nan, nan, nan]"
48,初めてスマホワークをやりたいのですが、途中でやめることはできますか？,ｄジョブ,https://sw.job.dmkt-sp.jp/about_service,1013,"[1066, 1127, 1001, 1071, 1128]",0,"[nan, nan, 'https://job.dmkt-sp.jp/inquiries', nan, nan]"
49,dポイントがもらえているか確認したい,ｄジョブ,https://dpoint.jp/member/point_info/index.html,990,"[1114, 1217, 1230, 1224, 0]",0,"[nan, nan, nan, nan, 'https://d.dmkt-sp.jp/']"
50,現金化できるのか？,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E7%8F%BE%E9%87%91,1015,"[548, 535, 975, 235, 816]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/8', 'https://faq.carshare.dmkt-sp.jp/faq/show/365', 'https://travel.dmkt-sp.jp/faq/123/', 'https://faq.carshare.dmkt-sp.jp/faq/show/47', 'https://travel.dmkt-sp.jp/faq/87/']"
51,現金化する場合にはどうしたらいいのか？,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E7%8F%BE%E9%87%91,1013,[931],0,['https://travel.dmkt-sp.jp/feature/article/glamping/glamping_family']
52,即日働きたい,ｄジョブ,https://job.dmkt-sp.jp/promotion/lp01_working.html?ref_code=dmenu_rec_free-display_djob_201906_05_recommend_all_bnr_sokujitsu&utm_source=dmenu_rec&utm_medium=free-display&utm_campaign=djob_201906_05_recommend_all&utm_content=bnr_sokujitsu,922,"[960, 1002]",0,"['https://travel.dmkt-sp.jp/faq/156/', 'https://job.dmkt-sp.jp/information/guide.html']"
53,モニターとは,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E3%83%A2%E3%83%8B%E3%82%BF%E3%83%BC,633,"[1151, 1142, 1152, 1141, 1150]",0,"[nan, nan, nan, nan, nan]"
54,ポイントはいつもらえるのか,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88%E3%80%80%E3%81%84%E3%81%A4,1012,"[1217, 1230, 1224, 0, 1216]",0,"[nan, nan, nan, 'https://d.dmkt-sp.jp/', nan]"
55,ログインできなくなった,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E3%83%91%E3%82%B9%E3%83%AF%E3%83%BC%E3%83%89,948,"[1245, 71, 129, 124, 1172]",0,"[nan, 'https://d.dmkt-sp.jp/common/qa/category/sugoroku/index014.html', 'https://d.dmkt-sp.jp/common/qa/category/daccount/index001.html', 'https://d.dmkt-sp.jp/common/qa/category/daccount/index006.html', nan]"
56,パスワードを忘れた,ｄジョブ,https://sw.job.dmkt-sp.jp/faq?keyword=%E3%83%91%E3%82%B9%E3%83%AF%E3%83%BC%E3%83%89,766,"[845, 63, 1183, 1207, 1126]",0,"['https://travel.dmkt-sp.jp/faq/101/', 'https://d.dmkt-sp.jp/common/qa/category/daccount/index002.html', nan, nan, nan]"
57,宿泊のみにdポイントを利用可能か？,ｄトラベル,https://travel.dmkt-sp.jp/faq/87/,619,"[1252, 666, 1005, 725, 821]",0,"[nan, 'https://travel.dmkt-sp.jp/campaign/point_exp/', 'https://travel.dmkt-sp.jp/faq/47/', 'https://travel.dmkt-sp.jp/terms/syukuhaku', 'https://travel.dmkt-sp.jp/faq/13/']"
58,予約後にプランを変更したい。方法は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/69/,646,"[1253, 1261, 1287, 970, 658]",0,"[nan, nan, nan, 'https://travel.dmkt-sp.jp/faq/40/', 'https://travel.dmkt-sp.jp/faq/']"
59,dマーケットマスターとは？,ｄトラベル,https://travel.dmkt-sp.jp/faq/96/,1012,"[114, 51, 852, 792, 25]",0,"['https://d.dmkt-sp.jp/common/qa/category/maschalle/index008.html', 'https://d.dmkt-sp.jp/common/qa/category/maschalle/index005.html', 'https://travel.dmkt-sp.jp/faq/98/', 'https://travel.dmkt-sp.jp/faq/96/', 'https://d.dmkt-sp.jp/common/maschalle/index.html']"
60,予約ステップにクーポンが表示されません,ｄトラベル,https://travel.dmkt-sp.jp/faq/24/,675,"[840, 1255, 706, 705, 691]",0,"['https://travel.dmkt-sp.jp/faq/23/', nan, 'https://travel.dmkt-sp.jp/coupon/20201109/', 'https://travel.dmkt-sp.jp/coupon/20201104/', 'https://travel.dmkt-sp.jp/coupon/20201102/']"
61,dﾄﾗﾍﾞﾙの電子チケット　対象機種は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/114/,629,"[1256, 986, 974, 722, 786]",0,"[nan, 'https://travel.dmkt-sp.jp/faq/113/', 'https://travel.dmkt-sp.jp/faq/170/', 'https://travel.dmkt-sp.jp/terms/eticket', 'https://travel.dmkt-sp.jp/faq/107/']"
62,dトラベル電子チケットの支払い方法　の種類は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/107/,816,"[977, 954, 722, 955, 677]",0,"['https://travel.dmkt-sp.jp/faq/124/', 'https://travel.dmkt-sp.jp/faq/112/', 'https://travel.dmkt-sp.jp/terms/eticket', 'https://travel.dmkt-sp.jp/faq/109/', 'https://travel.dmkt-sp.jp/howto/lecoupon/']"
63,予約情報の確認はどこからできますか？,ｄトラベル,https://travel.dmkt-sp.jp/faq/35/,1054,"[1027, 979, 675, 1257, 183]",0,"['https://travel.dmkt-sp.jp/faq/78/', 'https://travel.dmkt-sp.jp/faq/128/', 'https://travel.dmkt-sp.jp/howto/jyado/', nan, 'https://faq.carshare.dmkt-sp.jp/category/show/42']"
64,Go to トラベルの使い方は？,ｄトラベル,https://travel.dmkt-sp.jp/feature/goto/,1055,"[657, 694, 620, 706, 705]",0,"['https://travel.dmkt-sp.jp/feature/goto/coupon', 'https://travel.dmkt-sp.jp/coupon/20201112/', 'https://travel.dmkt-sp.jp/news/20201125_1/', 'https://travel.dmkt-sp.jp/coupon/20201109/', 'https://travel.dmkt-sp.jp/coupon/20201104/']"
65,対応クレジットカードは何？,ｄトラベル,https://travel.dmkt-sp.jp/faq/173/,1056,"[1260, 778, 160, 242, 171]",0,"[nan, 'https://travel.dmkt-sp.jp/faq/7/', 'https://faq.carshare.dmkt-sp.jp/faq/show/238', 'https://faq.carshare.dmkt-sp.jp/faq/show/240', 'https://faq.carshare.dmkt-sp.jp/faq/show/43']"
66,予約のキャンセル方法は？　,ｄトラベル,https://travel.dmkt-sp.jp/faq/63/,1057,"[1012, 525, 335, 372, 556]",0,"['https://travel.dmkt-sp.jp/faq/63/', 'https://faq.carshare.dmkt-sp.jp/faq/show/172', 'https://faq.carshare.dmkt-sp.jp/faq/show/174', 'https://faq.carshare.dmkt-sp.jp/faq/show/173', 'https://faq.carshare.dmkt-sp.jp/faq/show/1069']"
67,予約の変更方法は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/66/,1050,"[586, 985, 331, 526, 375]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/31', 'https://travel.dmkt-sp.jp/faq/45/', 'https://faq.carshare.dmkt-sp.jp/faq/show/168', 'https://faq.carshare.dmkt-sp.jp/faq/show/166', 'https://faq.carshare.dmkt-sp.jp/faq/show/167']"
68,東京ディズニーリゾート（TDL／TDS）を予約したい,ｄトラベル,https://travel.dmkt-sp.jp/feature/disney/,1051,"[683, 625, 1019, 1027, 556]",0,"['https://travel.dmkt-sp.jp/feature/disney/tokuten', 'https://travel.dmkt-sp.jp/feature/disney/', 'https://travel.dmkt-sp.jp/faq/70/', 'https://travel.dmkt-sp.jp/faq/78/', 'https://faq.carshare.dmkt-sp.jp/faq/show/1069']"
69,ユニバーサルスタジオジャパンを予約したい,ｄトラベル,https://travel.dmkt-sp.jp/feature/usj/,1052,"[639, 624, 723, 1019, 1027]",0,"['https://travel.dmkt-sp.jp/feature/usj/', 'https://travel.dmkt-sp.jp/ferry', 'https://travel.dmkt-sp.jp/registration/ryokin', 'https://travel.dmkt-sp.jp/faq/70/', 'https://travel.dmkt-sp.jp/faq/78/']"
70,星野リゾートの格安プランを予約したい,ｄトラベル,https://travel.dmkt-sp.jp/feature/hoshinoresort/,1053,"[652, 740, 739, 1019, 1027]",0,"['https://travel.dmkt-sp.jp/feature/hoshinoresort/', 'https://travel.dmkt-sp.jp/feature/hoshinoresort/kai', 'https://travel.dmkt-sp.jp/feature/hoshinoresort/risonare', 'https://travel.dmkt-sp.jp/faq/70/', 'https://travel.dmkt-sp.jp/faq/78/']"
71,キャンプ場はどこにある？,ｄトラベル,https://travel.dmkt-sp.jp/faq/136/,1050,"[789, 770, 655, 668, 674]",0,"['https://travel.dmkt-sp.jp/faq/136/', 'https://travel.dmkt-sp.jp/faq/135/', 'https://travel.dmkt-sp.jp/camp', 'https://travel.dmkt-sp.jp/campaign/point_camp/', 'https://travel.dmkt-sp.jp/news/20200305_1/']"
72,スキーツアーの特集は？,ｄトラベル,https://travel.dmkt-sp.jp/feature/wintersports/,1051,"[733, 648, 651, 649, 645]",0,"['https://travel.dmkt-sp.jp/feature/wintersports/', 'https://travel.dmkt-sp.jp/tentsuki', 'https://travel.dmkt-sp.jp/bustour/hatobus', 'https://travel.dmkt-sp.jp/jtb_tour', 'https://travel.dmkt-sp.jp/feature/']"
73,海外旅行の可能エリアは？,ｄトラベル,https://travel.dmkt-sp.jp/kaigai/,1052,"[754, 935, 608, 648, 650]",0,"['https://travel.dmkt-sp.jp/cruise/interview', 'https://travel.dmkt-sp.jp/feature/article/cottage/', 'https://travel.dmkt-sp.jp/', 'https://travel.dmkt-sp.jp/tentsuki', 'https://travel.dmkt-sp.jp/cruise']"
74,格安航空券は？,ｄトラベル,https://travel.dmkt-sp.jp/air,1053,[616],0,['https://travel.dmkt-sp.jp/air']
75,利用可能な旅行代理店は？,ｄトラベル,https://travel.dmkt-sp.jp/howto,1050,"[390, 516, 338, 255, 336]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/146', 'https://faq.carshare.dmkt-sp.jp/faq/show/147', 'https://faq.carshare.dmkt-sp.jp/faq/show/145', 'https://faq.carshare.dmkt-sp.jp/faq/show/1060', 'https://faq.carshare.dmkt-sp.jp/faq/show/139']"
76,料金は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/39/,1051,"[209, 313, 436, 401, 207]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/70', 'https://faq.carshare.dmkt-sp.jp/faq/show/71', 'https://faq.carshare.dmkt-sp.jp/faq/show/72', 'https://faq.carshare.dmkt-sp.jp/faq/show/1042', 'https://faq.carshare.dmkt-sp.jp/category/show/62']"
77,旅行日を確認したい場合は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/35/,1052,"[762, 837, 1284, 1000, 681]",0,"['https://travel.dmkt-sp.jp/faq/165/', 'https://travel.dmkt-sp.jp/faq/166/', nan, 'https://travel.dmkt-sp.jp/contact/other/', 'https://travel.dmkt-sp.jp/conditions/tehai']"
78,支払先は,ｄトラベル,https://travel.dmkt-sp.jp/faq/3/,1053,"[607, 113, 586, 188, 786]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/52', 'https://d.dmkt-sp.jp/common/qa/category/other/index004.html', 'https://faq.carshare.dmkt-sp.jp/faq/show/31', 'https://faq.carshare.dmkt-sp.jp/faq/show/48', 'https://travel.dmkt-sp.jp/faq/107/']"
79,問い合わせ先に電話で確認したい,ｄトラベル,https://travel.dmkt-sp.jp/faq/169/,1054,"[96, 1263, 1292, 1257, 1033]",0,"['https://d.dmkt-sp.jp/common/qa/category/sugoroku/index009.html', nan, nan, nan, 'https://travel.dmkt-sp.jp/faq/85/']"
80,問い合わせ先を教えてください,ｄトラベル,https://travel.dmkt-sp.jp/faq/169/,1055,"[789, 797, 777, 825, 855]",0,"['https://travel.dmkt-sp.jp/faq/136/', 'https://travel.dmkt-sp.jp/faq/144/', 'https://travel.dmkt-sp.jp/faq/140/', 'https://travel.dmkt-sp.jp/faq/138/', 'https://travel.dmkt-sp.jp/faq/142/']"
81,会員登録の方法,ｄトラベル,https://travel.dmkt-sp.jp/faq/103/,1056,"[386, 1267, 174, 195, 189]",0,"['https://faq.carshare.dmkt-sp.jp/faq/show/10', nan, 'https://faq.carshare.dmkt-sp.jp/category/show/2', 'https://faq.carshare.dmkt-sp.jp/category/show/11', 'https://faq.carshare.dmkt-sp.jp/faq/show/15']"
82,ｄアカウントを忘れた,ｄトラベル,https://travel.dmkt-sp.jp/faq/101/,1057,"[845, 63, 1207, 1126, 1174]",0,"['https://travel.dmkt-sp.jp/faq/101/', 'https://d.dmkt-sp.jp/common/qa/category/daccount/index002.html', nan, nan, nan]"
83,支払方法は？,ｄトラベル,https://travel.dmkt-sp.jp/faq/173/,1050,"[113, 586, 188, 786, 760]",0,"['https://d.dmkt-sp.jp/common/qa/category/other/index004.html', 'https://faq.carshare.dmkt-sp.jp/faq/show/31', 'https://faq.carshare.dmkt-sp.jp/faq/show/48', 'https://travel.dmkt-sp.jp/faq/107/', 'https://travel.dmkt-sp.jp/faq/3/']"
