,page,title,text,key_phrase
13,13,キッズ  マーケット,教育  キッズ 初回 日間 無料  ためし アニメ  POP  ヒッツ マタニティ ベビー キッズ 音楽 dTV キッズ  ショッピング 育児 おむつ ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 各種 設定  前   指定  検索 条件  該当 商品  あり ませ  でし  使え  使う あなた  合っ  コンテンツ  表示   ます あなた  おすすめ キッズランキング  検索 結果 検索 キーワード  入力   ください もしかして 検索 閉じる 水 ソフトドリンク 季節  食品 食品,キッズ
14,14,ポイント 表示 設定  マーケット,ID ポイント 表示 設定,id ポイント 表示 設定
15,15,マイ ページ  ポイント 確認  マーケット,おすすめ キャンペーン  マーケット  キャンペーン マイ ページ  ポイント 確認  アカウント  発行 もしくは ログイン  必要 です,キャンペーン マイページ
16,16,芸能 アイドル  マーケット,初回 日間 無料  ためし  ミュージック 音楽 洋楽  POP  ヒッツ  POP 前  各種 設定  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください  指定  検索 条件  該当 商品  あり ませ  でし  アニメ 使え  使う あなた  合っ  コンテンツ  表示   ます 芸能 アイドル ランキング  検索 結果 閉じる 検索 キーワード  入力   ください もしかして 芸能 アイドル 検索 あなた  おすすめ  ショッピング テレビ,ただいま 検索 結果
17,17,ファッション 美容  マーケット, fashion  ショッピング スキン ケア 美容 コス  香水 コスメ ヘア 初回 日間 無料  ためし 雑誌 本  マガジン バッグ トップス インナー インテリア サプリ  指定  検索 条件  該当 商品  あり ませ  でし  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 前   各種 設定 ダイエット 健康 用品 医療 サプリ スイーツ お菓子 食品 ワンピース ボディ 香水  ブック 時計 ファッション グッズ アクセサリー 使え  使う あなた  合っ  コンテンツ  表示   ます ファッション 検索  しかして 検索 キーワード  入力   ください 閉じる  検索 結果 ファッション ランキング あなた  おすすめ パンツ スポーツ,サプリ
18,18,漫画 アニメ  マーケット,初回 日間 無料  ためし 恋愛  アニメ ストア 雑誌 本  ブック SF ファンタジー コメディ スポーツ アクション バトル 動画 ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください ほのぼの 各種 設定  前   指定  検索 条件  該当 商品  あり ませ  でし  ホラー サスペンス 推理 使え  使う あなた  合っ  コンテンツ  表示   ます 漫画 アニメ ランキング  検索 結果 閉じる 検索 キーワード  入力   ください もしかして 検索 漫画 アニメ あなた  おすすめ,バトル 動画 ただいま 検索 結果
19,19,サイト  利用 にあたって  マーケット, マーケット に関する  質問 各種 設定 サイト  利用 にあたって  マーケット  利用 にあたって,
20,20, 得  クーポン  盛りだくさん クーポン ページ  マーケット,もっと 見る  ショッピング  デリバリー  fashion  クーポン 獲得 履歴  各 サービス  マイクーポンページ   確認 ください 各種 設定 おすすめ  最新 クーポン  こちら 限定 キャンペーン  マーケット 目玉 クーポン クーポン サービス 探す サービス  クーポン  まとめ  チェック  得  クーポン  盛りだくさん クーポン ページ,クーポン 獲得 履歴
21,21,グルメ  マーケット,初回 日間 無料  ためし 雑誌 本  マガジン ダイエット 健康 食品 スイーツ お菓子 用品 医療 サプリ サプリ 水 ソフトドリンク 季節  食品 マタニティ ベビー キッズ 育児  ショッピング 米  指定  検索 条件  該当 商品  あり ませ  でし  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください 前  各種 設定  果物 全国 物産 グルメ 工芸 使え  使う あなた  合っ  コンテンツ  表示   ます あなた  おすすめ グルメ 検索  しかして 検索 キーワード  入力   ください 閉じる  検索 結果 グルメ ランキング 魚介 類,グルメ
22,22,PUSH 通知 設定  マーケット NTT ドコモ 公式,ブラウザ Chrome https  dmkt sp jp  削除   ください Android スマート フォン  Chrome    Chrome   メニュー 設定 通知 アプリ   設定 ブロック  選択 https  dmkt sp jp  選択   削除   ください 動作 環境 PC ブラウザ FireFox Chrome Microsoft Edge  マーケット 推奨 環境  機種   利用   マーケット 推奨 環境  機種   本 ページ  設定  正常  表示   ない  あり ます その  推奨 環境  対応   機種  PC  アカウント  ログイン   いただき 設定 変更  お願い  ます 各種 設定 Firefox   メニュー オプション プライバシー  セキュリティ 通知 設定  クリック OS windows MacOS Windows および Mac  Firefox    Android Chrome   メニュー 設定 プライバシー  セキュリティ サイト  設定 通知  選択 https  dmkt sp jp  削除   ください PUSH 通知 設定  マーケット  情報  各 サービス  おすすめ 情報   届け  ます  マーケット   ブラウザ  PUSH 通知 による お知らせ 機能  提供   おり ます 現在   OS ブラウザ    利用 いただけ ませ  対象 OS ブラウザ   持ち   対象 OS ブラウザ 再度 アクセス   ください 対象 OS ブラウザ   なり ます Windows または MacOS Chrome FireFox Microsoft Edge Android スマート フォン Chrome PUSH 通知  設定 解除 ブラウザ  機能   使用  ブラウザ 通知  解除   ください Windows および Mac  Chrome    PUSH 通知  受け取り   希望   ボタン  クリック   ください,ブラウザ
23,23,メルマガ 設定  マーケット,ドコモ  iPhone  お客様  メッセージ    設定  必要 です メールアプリ  メッセージ    受信 BOX  ある  確認   下さい 設定  メールアプリ  受信 BOX  届き ます  ゲーム  メール マガジン   利用  お客様  ｉモード ケータイ スマート フォン  機種 変更     メール マガジン  再 設定 更新  行っ  いただく 必要  あり ます チェック ボックス  チェック  入っ     再度 設定 いただか ない  メール  配信   ませ   マーケット 推奨 環境  機種   利用   マーケット 推奨 環境  機種   本 ページ  メルマガ 設定  正常  表示   ない  あり ます その  推奨 環境  対応   機種  PC  アカウント  ログイン   いただき 設定 変更  お願い  ます 各種 設定 その サービス および  マーケット  メール マガジン  設定  行う  でき ます iPhone    お客様   機種   手元  ない   利用  機種 各 サービス  ページ  アクセス   いただき サービス  ページ  ある メール サービス 設定 設定 変更  実施 いただく お願い  ます ドコモ  ケータイ 回線   利用  お客 さま  ドコモメールアプリ sp モードメールアプリ  メッセージ  フォルダ  届き ます アプリ  バージョン によって  受信 BOX  届き ます ドコモメールアプリ  起動  メール  送受信  できる  確認   ください ドコモ  ケータイ 回線   持ち  ない お客 さま   アカウント  登録 いただい  メールアドレス  届き ます メルマガ 設定  マーケット メール マガジン  届か ない メルマガ メール マガジン 設定 メール マガジン  設定    アカウント もしくは ドコモ  携帯 電話 番号   ログイン  必要 です ドコモ  携帯 電話 番号  ログイン  ドコモ  回線  接続  ログイン  可能 です  マーケットメールマガジン メール マガジン  配信 頻度  配信  サービス によって 異なり ます ドコモ  ケータイ 回線   利用  お客 さま  ドコモメールアプリ sp モードメールアプリ  メッセージ  フォルダ  届き ます アプリ  バージョン によって  受信 BOX  届き ます ドコモ  iPhone  お客様  メッセージ    設定  必要 です 詳細  ページ  参照  マーケット  情報  各 サービス  おすすめ 情報   届け  ます,メール アプリ
24,24,キーワード 検索  マーケット, エンジョイ パス  キッズ  ヘルスケア  マガジン  ヒッツ  マーケット  アニメ ストア 円 ホット ワード 急上昇 ワード 人気 ワード 円 dTV  アプリ レビュー  カー シェア キーワード  入れる  全 サービス  商品  一括  検索 でき ます  ショッピング  ゲーム  デリバリー  ブック  fashion  トラベル  ミュージック  サービス,サービス
25,25,ヘルスケア  マーケット,スイーツ お菓子 用品 医療 サプリ ダイエット 健康 サプリ dTV 初回 日間 無料  ためし 動画 食品  ショッピング 美容 コス  香水 雑誌 本 コスメ 香水 スキン ケア ボディ  マガジン 各種 設定  前  ただいま 検索 結果  取得 でき ませ  時間  改めて 再度 検索   ください  指定  検索 条件  該当 商品  あり ませ  でし  ヘア お笑い 閉じる あなた  おすすめ ヘルスケア ランキング  検索 結果 検索 キーワード  入力   ください もしかして 検索 ヘルスケア 使え  使う あなた  合っ  コンテンツ  表示   ます,ただいま 検索 結果
26,26,無料 セール コーナー 毎週 更新  マーケット,各種 設定 セール  得  買い方 さらに おすすめ サービス  ショッピング サンプル 百貨店 sale 今週  おすすめ 無料 セール  半額 商品,おすすめ 無料
27,27,ポイント 表示 設定  マーケット,ID ポイント 表示 設定,id ポイント 表示 設定
28,28,マイ ページ  マーケット,おすすめ キャンペーン  マーケット  キャンペーン  アカウント  発行 もしくは ログイン  必要 です マイ ページ,ログイン
29,29,ポイント 表示 設定  マーケット,ID ポイント 表示 設定,id ポイント 表示 設定
30,30, マーケットマスターチャレンジ  マーケット,か月 連続   利用 いただく  マスター チャレンジ  情報  確認    アカウント  作成 もしくは ログイン  必要 です 限定  特典   届け  ます お客 さま  感謝  込め   マーケットマスターチャレンジ 毎月 たのしん  毎日 トクベツ ,ご利用
31,31, アカウント って こんなに  得  便利    マーケット,テレビ  回線   ドコモ  ケータイ 携帯 会社 デバイス  関係 なく  マーケット  はじめ 様々  ドコモ  サービス   利用 いただけ ます  アカウント  発行  たまる  店 つかえる  店  どんどん 拡大 予定 円 つかえる ポイント ポイント たまる 大 画面  ポイント   利用    利用  登録  必要 です タブレット  完了 発行 無料  かん   ステップ ステップ 本人 確認 ステップ 情報 入力 ステップ 確認 ステップ 各種 設定 円 税 抜  パソコン    ポイント  例えば ローソン なら もちろん 無料  アカウント  持っ   ない なんて もったいない  アカウント  持っ  いれ  どなた  得   ポイント  たまる 使える ドコモ 回線   持ち  ない お客 さま   ポイント クラブ  入会 無料 可能  アカウント  発行  こんなに  得  ポイント クラブ 会員  なる   得  クーポン  利用 できる 会員 なら 誰 使える 例えば ガスト 対象 商品  割引 クーポン ローソン 対象 商品  割引 クーポン 映画  レジャー 施設   ポイント カード  提示  ローソン  ドトール  ポイント  たまる つかえる  利用 条件 詳しく   ポイント クラブ サイト   確認 ください クーポン  提供   割引 各社  定める 優待   併用  でき ない  あり ます スペシャル クーポン  株式会社 リロクラブ  業務 提携    提供    ます 対象  店舗  あり ます ドトール ドリンクサイズアップ 最 高級  特典  抽選  プレゼント プラチナ ステージ 限定  マーケット 特典  新 江ノ島 水族館 円 円 イオン シネマ 映画 観賞 券 円 円 毎週 火曜日 ドコモチューズデー なら 入館 券 円 プラチナ th ステージ 限定 優待 価格   利用 可能 ホテル 宿泊 JAL  おもてなし 空間,ステップ
32,32,ポイント 表示 設定  マーケット,ID ポイント 表示 設定,id ポイント 表示 設定
33,33, マーケット  健全  マーケット,自殺 自殺 行為  肯定 勧誘 あるいは 助長 又は その 恐れ  ある 内容 殺害 自殺  方法  掲載 行為  含む 青少年  教育 啓発  目的  ない 表現 画像  掲載  ない 犯罪 行為 に関する 表現 犯罪  予告  犯罪  助長 社会 通念 青少年  相応しい 内容  認め られる 範囲  超え  表現 画像  掲載  ない 青少年  健全  育成  著しく 阻害  うる 表現 青少年  健全  育成  著しく 阻害 可能 性  あり 青少年  教育 啓発  目的  ない 表現 画像  掲載  ない 自殺 に関する 表現 各種 設定 株式会社 NTT ドコモ 残虐 性  喚起 ほう助 社会 通念 青少年  相応しい 内容  認め られる 範囲  超え  表現 画像  掲載  ない 著しく 性欲  刺激 社会 通念 青少年  相応しい 内容  認め られる 範囲  超え  表現 画像  掲載  ない 暴力 に関する 表現  マーケット  健全 お客様  投稿    情報 当社  お客 さま  本 サービス において 投稿 アップ ロード 又は 保存    情報  保存 蓄積   本 サービス  円滑  運営 改善  目的 あらゆる 態様  利用 いたし ます 予め  了承 ください 自社 表現 基準 網 領 性 に関する 表現,青少年
34,34, 質問  問い合わせ  マーケット,ドコモメールアプリ sp モードメールアプリ  メッセージ  フォルダ  届き ます アプリ  バージョン によって  受信 ボックス  届き ます ドコモメールアプリ sp モードメールアプリ  起動  メール  送受信  できる  確認   ください  お客様  モード 端末   回答  受信   でき ませ  PC アドレス にて  アカウント  新規  発行 いただき mail apl spmode ne jp  メール  受信 できる  設定      問い合わせ ください iPhone iPad    お客様  メッセージ    設定  必要 です メールアプリ  メッセージ    受信 BOX  ある  確認   下さい 設定  メールアプリ  受信 ボックス  届き ます お客様   回答   アカウント  登録 いただい  メールアドレス  届き ます ドメイン 指定 受信  拒否 設定    いる  mail apl spmode ne jp  メール  受信 できる  設定   ください ドコモ  携帯 電話    お客様 なお 弊社 にて 自動的  取得   お客様 情報  まし   本 ページ  記載  個人 情報  取り扱い  記載  とおり 適正  取り扱っ  まいり ます お客様  氏名 電話 番号 住所 クレジットカード 番号  個人 情報  入力   ない  ください 本 フォーム  お客様  自身  入力   まし  情報  まし   個人 情報   取り扱い  いたし かね ます  入力 いただき まし  情報  取り扱い 回答  受け取る   sp モード   契約  必要 です 回答  注意 事項 個人 情報  取り扱い 株式会社 NTT ドコモ 当社  いい ます  事業  運営   いく  個人 情報  重要 性  認識  その 保護  徹底  図る  最大  責務  考え お客様   安心 信頼 感  提供   方針  定め 全 従業  周知 徹底  図り 個人 情報  保護  努め ます なお 当社  個人 情報 なら  法人  団体  お客様 に関する 情報  個人 情報  同様  適正  取り扱っ  まいり ます 詳細    確認 ください  意見  改善 お客様   満足 いただける サービス  提供  目指し お客様 いただい  声 改善  取り組ん   ます さらに 便利  楽しく  マーケット  使っ  いただける 努め  まいり ます 各種 設定 回答  翌 営業  なり ます 土日 祝 年末年始 休み  問い合わせ 内容 によって   時間  いただく  お答え でき ない  ござい ます あらかじめ  了承 ください  入力 いただき まし   意見 に対する 返信  いたし かね ます ので 予め  了承 ください  コイン  マーケット および 各 サービス  問い合わせ 窓口  契約 内容   確認  購入 情報 各 サービス  キャンペーン に関する  質問  直接 各 サービス  窓口  問い合わせ ください  質問  問い合わせ  問い合わせ  前  回答  時間  いただく  ござい ます  よく 参照   質問  自動 応答  チャット   利用 いただく  解決 できる  ござい ます よく 参照   質問 よく ある  質問  カテゴリー  ごろ  くじ Twitter キャンペーン メルマガ お知らせ 通知  マーケット レビュー  マーケットマスターチャレンジ  アカウント  マーケット ビンゴゲーム どう ぶつ 図鑑  ポイント,ドコモ メール アプリ
